brand,city,model_year,age_years,mileage_km,engine_cc,condition_score,price
KIA,Sahiwal,2024,2,25080,1800,10,3692858
Hyundai,Lahore,2011,15,122955,1300,3.62,1611610
Honda,Faisalabad,2019,7,88222,1500,4.82,2654250
Hyundai,Lahore,2016,10,99549,1800,4.12,1758053
Hyundai,Sahiwal,2019,7,54977,1500,7.27,2370113
Toyota,Karachi,2016,10,139085,1800,2.35,2394020
Honda,Multan,2014,12,128464,1800,2.12,2150703
Honda,Karachi,2021,5,62877,1800,6.21,3256648
Honda,Lahore,2022,4,39998,1800,7.58,3512156
Hyundai,Multan,2023,3,43791,1800,7.68,3310788
KIA,Sahiwal,2012,14,231161,1300,1,675002
Honda,Karachi,2010,16,189909,1800,1,1203410
Changan,Sahiwal,2019,7,62577,1800,6.64,1921886
Hyundai,Multan,2011,15,160671,1300,1.8,907394
Toyota,Multan,2023,3,28235,1300,9.43,3676865
KIA,Karachi,2014,12,157753,1300,1.47,1370737
Changan,Sahiwal,2020,6,51309,1300,7.3,2029998
Changan,Islamabad,2017,9,117531,1300,4.1,1183121
Toyota,Sahiwal,2014,12,92538,1300,3.03,2351810
KIA,Multan,2021,5,75337,1800,6.95,2976891
Hyundai,Sahiwal,2012,14,127534,1800,1.42,1557332
Suzuki,Lahore,2010,16,177346,1000,1,250000
KIA,Islamabad,2018,8,109296,1800,3.37,2413088
Toyota,Faisalabad,2018,8,96358,1800,4.42,2729638
Changan,Lahore,2022,4,55725,1300,7.41,2137985
Hyundai,Faisalabad,2019,7,99433,1300,6.32,2175030
KIA,Karachi,2016,10,159210,1800,2.24,1675649
Suzuki,Faisalabad,2017,9,137972,1000,2.57,616326
Suzuki,Sahiwal,2019,7,77442,660,6.81,936671
Honda,Faisalabad,2024,2,31162,1800,8.12,3951754
Honda,Multan,2013,13,103185,1800,1.47,2189043
Toyota,Lahore,2014,12,143105,1500,2.33,2176256
KIA,Lahore,2021,5,64275,1500,6.38,2860369
KIA,Faisalabad,2020,6,74321,1300,7.88,2903691
Changan,Lahore,2015,11,144726,1500,2.91,1011542
Changan,Multan,2017,9,111812,1800,3.94,1582629
Changan,Lahore,2016,10,147082,1800,2.08,1031986
Honda,Faisalabad,2009,17,201033,1500,1,1222202
KIA,Islamabad,2012,14,152894,1500,2.44,1545390
KIA,Islamabad,2012,14,196754,1500,1,1125906
Suzuki,Karachi,2013,13,106320,1000,2.11,565039
Honda,Lahore,2015,11,152272,1300,2.77,1734460
Hyundai,Faisalabad,2023,3,23277,1500,8.33,2998382
Honda,Lahore,2020,6,84529,1300,6.15,2836883
Hyundai,Sahiwal,2008,18,207655,1800,1,505506
Suzuki,Multan,2024,2,30464,1000,8.24,2036989
Toyota,Lahore,2014,12,154120,1300,1.61,2132237
KIA,Lahore,2020,6,40874,1500,7.63,2995101
Suzuki,Islamabad,2011,15,157016,1300,1,250000
KIA,Multan,2011,15,215594,1800,1,887380
Changan,Faisalabad,2013,13,180294,1800,1,660406
