player_id,rolling_avg_rating_3m,rolling_avg_stat_3m,is_home_match,performance_rating,target_next_match_rating
5084,6.91,5,0,7.41,7.06
5202,8.1,3,0,7.8,8.35
5026,6.54,3,0,6.86,6.64
5247,6.33,6,0,6.2,6.14
5381,6.73,6,0,6.26,6.87
5123,8.4,10,1,8.59,8.45
5208,7.96,7,0,8.3,7.85
5291,8.22,2,1,7.87,8.48
5165,6.01,5,0,5.69,6.03
5143,7.55,8,0,7.75,7.27
5177,6.65,8,0,6.64,6.79
5369,6.42,6,1,6.71,6.36
5400,6.11,2,0,5.76,6.29
5437,7.68,7,1,8.13,7.83
5495,7.22,9,1,7.49,7.06
5323,7.32,9,0,7.39,7.07
5488,7.68,2,0,7.48,7.49
5298,6.24,9,1,5.96,6.12
5188,8.33,4,1,8.33,8.29
5115,6.79,5,0,6.78,6.7
5351,7.5,4,1,7.98,7.45
5421,7.95,3,0,8.14,8.19
5086,7.88,8,1,7.57,7.78
5014,6.28,8,0,6.06,6.02
5070,7.45,6,0,7.53,7.21
5479,7.19,8,1,7.17,7.17
5390,7.08,2,0,6.74,6.82
5408,6.73,10,0,6.46,6.76
5340,8.32,8,0,7.83,8.54
5468,8.21,8,0,8.24,8.17
5163,7.47,9,1,7.02,7.71
5417,7.71,2,1,7.99,7.87
5062,8.46,7,1,8.2,8.64
5304,7.88,6,0,8.28,7.59
5396,6.54,9,0,6.61,6.66
5389,7.32,10,0,6.86,7.39
5461,8.36,10,1,8.82,8.2
5370,7.58,3,1,7.65,7.58
5251,6.77,9,0,6.63,6.72
5278,6.85,10,0,6.37,6.99
5218,8.09,2,1,8.45,8.2
5152,8.49,6,0,8.52,8.42
5170,8.13,7,0,7.81,8.08
5416,7.26,4,0,6.92,7.55
5421,6.4,6,1,6.82,6.48
5016,8.04,7,1,7.92,7.85
5178,7.95,2,1,8.01,7.66
5028,6.8,3,0,6.38,6.88
5318,8.49,5,0,8.4,8.28
5398,8.45,2,0,8.45,8.57
5490,8.33,8,0,8.51,8.57
5101,7.82,8,1,8.03,7.76
5209,7.03,4,0,7.27,7.33
5055,8.35,3,0,8.53,8.28
5415,6.7,9,0,6.42,6.96
5460,7.98,5,1,7.64,7.98
5479,6.27,3,0,6.18,6.51
5281,6.25,10,1,6.56,6.1
5281,8.41,7,0,7.94,8.39
5355,6.93,8,0,7.12,7.0
5036,6.04,7,0,5.88,6.26
5027,8.31,2,1,8.12,8.45
5329,6.44,2,0,6.92,6.45
5229,7.5,4,0,7.74,7.28
5277,6.86,3,0,6.42,6.58
5451,7.56,10,1,7.78,7.69
5142,6.97,4,0,6.67,7.2
5287,6.73,6,0,6.52,6.63
5421,7.71,4,1,7.64,7.61
5418,6.17,3,1,5.82,6.1
5334,7.48,8,1,7.52,7.3
5054,7.36,4,1,7.26,7.55
5354,6.95,10,0,6.75,6.81
5154,6.14,4,0,6.05,5.87
5409,8.32,3,1,8.57,8.19
5007,6.0,5,1,6.32,5.76
5407,8.01,4,0,7.75,7.96
5328,6.22,8,1,6.44,6.14
5146,7.03,6,1,7.52,6.86
5469,7.17,6,0,6.98,7.16
5448,6.58,4,0,6.89,6.33
5075,6.72,7,0,7.13,6.58
5094,8.48,5,1,8.96,8.5
5226,7.64,7,1,7.8,7.64
5158,6.22,7,1,6.69,6.36
5078,7.76,6,0,7.81,7.58
5024,8.47,3,1,8.46,8.73
5203,6.88,4,1,7.16,6.86
5339,6.59,8,1,6.72,6.47
5389,8.09,2,0,8.52,8.27
5155,7.15,9,1,7.2,6.89
5238,6.95,10,0,7.0,6.94
5444,7.96,2,0,7.59,8.01
5246,8.28,10,1,8.73,8.16
5286,7.71,7,0,8.13,7.98
5382,6.68,8,1,6.34,6.87
5496,6.92,3,0,7.27,6.73
5347,8.12,6,1,7.7,7.82
5085,6.79,5,1,6.42,6.73
5089,6.08,10,1,5.58,6.37
